mother	embryo	het_sites_total	het_sites_mismatch	het_match_percentage	hom_sites_total	hom_sites_mismatch	hom_match_percentage	total_sites	total_mismatch	total_match_percentage
Mhupehensis_589756	Mhupehensis_589756_sim_e11	3401	74	97.8	3049	2	99.9	6450	76	98.8
Mhupehensis_589756	Mhupehensis_589756_sim_e12	3296	81	97.5	2933	3	99.9	6229	84	98.7
Mhupehensis_589756	Mhupehensis_589756_sim_e2	30014	512	98.3	46844	26	99.9	76858	538	99.3
Mhupehensis_589756	Mhupehensis_589756_sim_e3	30094	544	98.2	46240	24	99.9	76334	568	99.3
Mhupehensis_589756	Mhupehensis_589756_sim_e4	119919	606	99.5	232242	22	100.0	352161	628	99.8
Mhupehensis_589756	Mhupehensis_589756_sim_e5	119516	642	99.5	232347	16	100.0	351863	658	99.8
Mhupehensis_589756	Mhupehensis_589756_sim_e6	119344	576	99.5	232335	15	100.0	351679	591	99.8
Mhupehensis_589756	Mhupehensis_589756_sim_e7	132954	312	99.8	254409	8	100.0	387363	320	99.9
Mhupehensis_589756	Mhupehensis_589756_sim_e8	132806	268	99.8	254315	3	100.0	387121	271	99.9
Mhupehensis_589756	Mhupehensis_589756_sim_e9	132621	271	99.8	254507	5	100.0	387128	276	99.9
Mhupehensis_633818	Mhupehensis_633818_e1	81785	4034	95.1	62833	979	98.4	144618	5013	96.5
Mhupehensis_633818	Mhupehensis_633818_e10	9175	595	93.5	7970	129	98.4	17145	724	95.8
Mhupehensis_633818	Mhupehensis_633818_e11	24002	1509	93.7	18971	354	98.1	42973	1863	95.7
Mhupehensis_633818	Mhupehensis_633818_e12	60692	3195	94.7	47394	733	98.5	108086	3928	96.4
